Name,Slug,Category,Brand,Description,listPrice,Price,CountInStock,Images,Tags,IsPublished,SKU,Specifications,Dimensions,Weight,Material,Finish,EnergyRating,EnergyConsumption,Capacity,WarrantyDetails,InstallationRequired,ModelNumber
REFRIGERATOR-IGNIS-SBS740C/AIX,ignis-sbs740c-aix-refrigerator,Appliances,IGNIS,"Side-by-side fridge-freezer with No Frost technology, 740L capacity, stainless steel color, interior light, reversible door, transparent drawers, electronic control, frost-free operation, Aqua-Ice technology.",5794.2,5794.2,2,(to be provided),refrigerator; kitchen; appliances; ignis; side-by-side; no-frost,TRUE,01-IGNI-SBS740C/AIX,Type: Side-by-side fridge-freezer; Capacity: 740L; Color: Stainless Steel; Interior Light: Yes; Door Type: Reversible; Drawers: Transparent; Control Type: Electronic; Frost-Free: Yes; Special Features: Aqua-Ice technology,,,,Stainless Steel,,,740L,,TRUE,SBS740C/AIX
REFRIGERATOR-IGNIS-CNFT420SAQEU,ignis-cnft420saqeu-refrigerator,Appliances,IGNIS,"No Frost fridge-freezer combination, white color, 420L capacity, reversible door, LED lighting, electronic controls, frost-free operation.",3590.2,3590.2,2,(to be provided),refrigerator; kitchen; appliances; ignis; no-frost; white,TRUE,01-IGNI-CNFT420SAQEU,Type: No Frost fridge-freezer combination; Color: White; Capacity: 420L; Door Type: Reversible; Lighting: LED; Controls: Electronic; Frost-Free: Yes,,,,White,,,420L,,TRUE,CNFT420SAQEU
REFRIGERATOR-IGNIS-FD830X,ignis-fd830x-refrigerator,Appliances,IGNIS,"Integrated upright fridge with direct cooling, 830L capacity, white color, interior light, reversible door, transparent drawers, electronic control, rapid temperature recovery, automatic/semi-automatic cleaning options, defrost with ease.",8114.2,8114.2,2,(to be provided),refrigerator; kitchen; appliances; ignis; integrated; direct-cooling,TRUE,01-IGNI-FD830X,Capacity: 830L; Color: White; Cooling Type: Direct Cooling; Interior Light: Yes; Door Type: Reversible; Drawers: Transparent; Control Type: Electronic; Energy Saving: Rapid temperature recovery; Cleaning & Maintenance: Automatic/semi-automatic options to reduce ice formation; Water Drainage System: Defrost with ease,,,,White,,,830L,,TRUE,FD830X
IGNIS-REFRIGERATOR-RMDF542/U,ignis-rmdf542-u-refrigerator,Appliances,IGNIS,"Integrated upright fridge with direct cooling, 542L capacity, white color, interior light, reversible door, transparent drawers, electronic control, rapid temperature recovery, automatic/semi-automatic cleaning options, defrost with ease.",2720.2,2720.2,1,(to be provided),refrigerator; kitchen; appliances; ignis; integrated; direct-cooling,TRUE,01-IGNI-RMDF542/U,Capacity: 542L; Color: White; Cooling Type: Direct Cooling; Interior Light: Yes; Door Type: Reversible; Drawers: Transparent; Control Type: Electronic; Energy Saving: Rapid temperature recovery; Cleaning & Maintenance: Automatic/semi-automatic options to reduce ice formation; Water Drainage System: Defrost with ease,,,,White,,,542L,,TRUE,RMDF542/U
REFRIGERATOR-IGNIS-RMDF600W,ignis-rmdf600w-refrigerator,Appliances,IGNIS,"Integrated upright fridge with direct cooling, 600L capacity, white color, interior light, reversible door, transparent drawers, electronic control, rapid temperature recovery, automatic/semi-automatic cleaning options, defrost with ease.",3010.2,3010.2,1,(to be provided),refrigerator; kitchen; appliances; ignis; integrated; direct-cooling,TRUE,01-IGNI-RMDF600W,Capacity: 600L; Color: White; Cooling Type: Direct Cooling; Interior Light: Yes; Door Type: Reversible; Drawers: Transparent; Control Type: Electronic; Energy Saving: Rapid temperature recovery; Cleaning & Maintenance: Automatic/semi-automatic options to reduce ice formation; Water Drainage System: Defrost with ease,,,,White,,,600L,,TRUE,RMDF600W
REFRIGERATOR-IGNIS-SBS660A+AI/X,ignis-sbs660a-ai-x-refrigerator,Appliances,IGNIS,"Side-by-side fridge-freezer with No Frost technology, 660L capacity, stainless steel color, interior light, reversible door, transparent drawers, electronic control, frost-free operation, Aqua-Ice technology.",7766.2,7766.2,1,(to be provided),refrigerator; kitchen; appliances; ignis; side-by-side; no-frost,TRUE,01-IGNI-SBS660A+AI/X,Type: Side-by-side fridge-freezer; Capacity: 660L; Color: Stainless Steel; Interior Light: Yes; Door Type: Reversible; Drawers: Transparent; Control Type: Electronic; Frost-Free: Yes; Special Features: Aqua-Ice technology,,,,Stainless Steel,,,660L,,TRUE,SBS660A+AI/X
REFRIGERATOR-IGNIS-NFT5600S,ignis-nft5600s-refrigerator,Appliances,IGNIS,"No Frost fridge-freezer combination, silver color, 560L capacity, reversible door, LED lighting, electronic controls, frost-free operation.",4692.2,4692.2,1,(to be provided),refrigerator; kitchen; appliances; ignis; no-frost; silver,TRUE,04-IGNI-NFT5600S,Type: No Frost fridge-freezer combination; Color: Silver; Capacity: 560L; Door Type: Reversible; Lighting: LED; Controls: Electronic; Frost-Free: Yes,,,,Silver,,,560L,,TRUE,NFT5600S
REFRIGERATOR-WESTPOINT-WRNN-2223.E (WHITE),westpoint-wrnn-2223-e-refrigerator-white,Appliances,WESTPOINT,"Top-freezer refrigerator with 22 cu. ft. capacity, white color, frameless glass shelves, humidity-controlled crispers, optional icemaker kit, LED interior lighting, electronic temperature controls.",1502.2,1502.2,123,(to be provided),refrigerator; kitchen; appliances; westpoint; top-freezer; white,TRUE,01-WEST-WRNN-2223.E,Width: (not specified); Height: (not specified); Depth: (not specified); Capacity: 22 cu. ft.; Color: White; Shelves: Frameless Glass (assumed); Crispers: Humidity-Controlled (assumed); Icemaker: Optional Kit (assumed); Lighting: LED Interior (assumed); Temperature Controls: Electronic (assumed),,,,White,,,22 cu. ft.,,TRUE,WRNN-2223.E
REFRIGERATOR-WESTPOINT-W4FNN-5224/EDG-17CFT-WHIT,westpoint-w4fnn-5224-edg-refrigerator-white-17cft,Appliances,WESTPOINT,"Top-freezer refrigerator with 17 cu. ft. capacity, white color, frameless glass shelves, humidity-controlled crispers, optional icemaker kit, LED interior lighting, electronic temperature controls.",4634.2,4634.2,54,(to be provided),refrigerator; kitchen; appliances; westpoint; top-freezer; white,TRUE,01-WEST-W4FNN5224/ED,Width: (not specified); Height: (not specified); Depth: (not specified); Capacity: 17 cu. ft.; Color: White; Shelves: Frameless Glass (assumed); Crispers: Humidity-Controlled (assumed); Icemaker: Optional Kit (assumed); Lighting: LED Interior (assumed); Temperature Controls: Electronic (assumed),,,,White,,,17 cu. ft.,,TRUE,W4FNN-5224.EDG
REFRIGERATOR-WESTPOINT-WSTW-5323EWD- 17CFT-WHIT,westpoint-wstw-5323ewd-refrigerator-white-17cft,Appliances,WESTPOINT,"Top-freezer refrigerator with 17 cu. ft. capacity, white color, frameless glass shelves, humidity-controlled crispers, optional icemaker kit, LED interior lighting, electronic temperature controls.",3822.2,3822.2,52,(to be provided),refrigerator; kitchen; appliances; westpoint; top-freezer; white,TRUE,01-WEST-WSTW-5323EWD,Width: (not specified); Height: (not specified); Depth: (not specified); Capacity: 17 cu. ft.; Color: White; Shelves: Frameless Glass (assumed); Crispers: Humidity-Controlled (assumed); Icemaker: Optional Kit (assumed); Lighting: LED Interior (assumed); Temperature Controls: Electronic (assumed),,,,White,,,17 cu. ft.,,TRUE,WSTW-5323.EWD
REFRIGERATOR-WESTPOINT-WCNN-4824.EDI-16CFT-S/STE,westpoint-wcnn-4824-edi-refrigerator-silver-steel-16cft,Appliances,WESTPOINT,"Top-freezer refrigerator with 16 cu. ft. capacity, silver-steel color, frameless glass shelves, humidity-controlled crispers, optional icemaker kit, LED interior lighting, electronic temperature controls.",3474.2,3474.2,46,(to be provided),refrigerator; kitchen; appliances; westpoint; top-freezer; silver-steel,TRUE,01-WEST-WCNN-4824.ED,Width: (not specified); Height: (not specified); Depth: (not specified); Capacity: 16 cu. ft.; Color: Silver-Steel (assumed); Shelves: Frameless Glass (assumed); Crispers: Humidity-Controlled (assumed); Icemaker: Optional Kit (assumed); Lighting: LED Interior (assumed); Temperature Controls: Electronic (assumed),,,,Silver-Steel,,,16 cu. ft.,,TRUE,WCNN-4824.EDI
REFRIGERATOR-WESTPOINT-WRI-2322.ER,westpoint-wri-2322-er-refrigerator,Appliances,WESTPOINT,"Top-freezer refrigerator with 23 cu. ft. capacity, white color, frameless glass shelves, humidity-controlled crispers, optional icemaker kit, LED interior lighting, electronic temperature controls.",1502.2,1502.2,42,(to be provided),refrigerator; kitchen; appliances; westpoint; top-freezer; white,TRUE,01-WEST-WRI-2322.ER,Width: (not specified); Height: (not specified); Depth: (not specified); Capacity: 23 cu. ft.; Color: White (assumed); Shelves: Frameless Glass (assumed); Crispers: Humidity-Controlled (assumed); Icemaker: Optional Kit (assumed); Lighting: LED Interior (assumed); Temperature Controls: Electronic (assumed),,,,White,,,23 cu. ft.,,TRUE,WRI-2322.ER
REFRIGERATOR-WESTPOINT-WNHN-37124.EI-12CFT-GREY,westpoint-wnhn-37124ei-refrigerator-grey-12cft,Appliances,WESTPOINT,"Top-freezer refrigerator with 12 cu. ft. capacity, grey color, frameless glass shelves, humidity-controlled crispers, optional icemaker kit, LED interior lighting, electronic temperature controls.",2894.2,2894.2,41,(to be provided),refrigerator; kitchen; appliances; westpoint; top-freezer; grey,TRUE,01-WEST-WNHN-37124EI,Width: (not specified); Height: (not specified); Depth: (not specified); Capacity: 12 cu. ft.; Color: Grey (assumed); Shelves: Frameless Glass (assumed); Crispers: Humidity-Controlled (assumed); Icemaker: Optional Kit (assumed); Lighting: LED Interior (assumed); Temperature Controls: Electronic (assumed),,,,Grey,,,12 cu. ft.,,TRUE,WNHN-37124.EI
REFRIGERATOR-WESTPOINT-WNHN-4524.E-15CFT-WHITE,westpoint-wnhn-4524-e-refrigerator-white-15cft,Appliances,WESTPOINT,"Top-freezer refrigerator with 15 cu. ft. capacity, white color, frameless glass shelves, humidity-controlled crispers, optional icemaker kit, LED interior lighting, electronic temperature controls.",3358.2,3358.2,39,(to be provided),refrigerator; kitchen; appliances; westpoint; top-freezer; white,TRUE,01-WEST-WNHN-4524.E,Width: (not specified); Height: (not specified); Depth: (not specified); Capacity: 15 cu. ft.; Color: White (assumed); Shelves: Frameless Glass (assumed); Crispers: Humidity-Controlled (assumed); Icemaker: Optional Kit (assumed); Lighting: LED Interior (assumed); Temperature Controls: Electronic (assumed),,,,White,,,15 cu. ft.,,TRUE,WNH
